"","OCC2010","mean_wage","num_workers","Label"
"411",4430,21760.3340419071,16465,"Entertainment Attendants and Related Workers, nec"
"412",4720,21335.0384478593,81539,"Cashiers"
"413",4600,21288.8101086443,46574,"Childcare Workers"
"414",7540,21136.5442176871,147,"Locksmiths and Safe Repairers"
"415",2440,20747.5018695472,2407,"Library Technicians"
"416",4230,19695.7438487438,7722,"Maids and Housekeeping Cleaners"
"417",5320,19430.9012513833,11747,"Library Assistants, Clerical"
"418",8950,19155.6191989828,1573,"Helpers--Production Workers"
"419",4420,19147.9047840223,2153,"Ushers, Lobby Attendants, and Ticket Takers"
"420",4050,19078.57231445,46443,"Combined Food Preparation and Serving Workers, Including Fast Food"
"421",7610,18876.8854166667,480,"Helpers--Installation, Maintenance, and Repair Workers"
"422",9350,18353.7496828753,2365,"Parking Lot Attendants"
"423",4030,17768.3075520527,17002,"Food Preparation Workers"
"424",4150,17487.2485242536,11689,"Host and Hostesses, Restaurant, Lounge, and Coffee Shop"
"425",4130,17271.1295625943,6630,"Food preparation and serving related workers, nec"
"426",4140,15994.5175930648,1961,"Dishwashers"
